Radical,Freq.,General standard #,,HSK 3.0,Stroke count,Character,Pronounciation,Meaning
一 1.0,2,1,0.0157656778,1,1,一,yī,"one; a, an; alone"
一 1.1,530,7,0.0003967153,1,2,七,qī,seven
一 1.1,1168,5,0.0001213360,7–9,2,丁,dīng,"male adult; robust, vigorous; 4th heavenly stem"
一 1.2,16,36,0.0055274046,1,3,上,shàng,"top; superior, highest; go up, send up"
一 1.2,42,30,0.0032101917,1,3,下,xià,"under, underneath, below; down; inferior; bring down"
一 1.2,125,22,0.0015724325,1,3,三,sān,three
一 1.2,322,35,0.0006936290,2,3,万,wàn,ten thousand; innumerable
一 1.2,1242,33,0.0001052795,4,3,丈,zhàng,"unit of length equal 3.3 meters; gentleman, man, husband"
一 1.3,4,91,0.0115652120,1,4,不,bù,"no, not; un-; negative prefix"
一 1.3,108,34,0.0017856580,4,3,与,yǔ,"and; with; to; for; give, grant"
一 1.3,485,83,0.0004359651,3,4,专,zhuān,"monopolize, take sole possession"
一 1.3,1901,177,0.0000416891,5,4,丑,chǒu,"clown, comedian; 2nd terrestrial branch"
一 1.3,2606,84,0.0000165423,7–9,4,丐,gài,beggar; beg; give
一 1.3,—,3511,0.0000000000,,4,丏,miǎn,parapet; invisible
一 1.4,130,231,0.0015305574,2,5,业,yè,"profession, business; GB radical 111"
一 1.4,181,206,0.0011110364,3,5,世,shì,generation; world; era
一 1.4,194,225,0.0010658073,1,5,东,dōng,"east, eastern, eastward"
一 1.4,296,237,0.0007472558,2,5,且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)"
一 1.4,1026,347,0.0001528909,7–9,5,丝,sī,silk; fine thread; wire; strings
一 1.4,1678,281,0.0000551151,7–9,5,丛,cóng,"bush, shrub; thicket; collection"
一 1.4,1929,268,0.0000407537,7–9,5,丘,qiū,hill; elder; empty; a name
一 1.4,2645,213,0.0000157878,7–9,5,丙,bǐng,third; 3rd heavenly stem
一 1.4,3748,3535,0.0000039172,,5,丕,pī,"great, grand, glorious, distinguished"
一 1.5,420,373,0.0005180823,4,6,亚,yà,Asia; second
一 1.5,1639,447,0.0000583192,5,6,丢,diū,discard
一 1.5,1758,402,0.0000494770,5,6,夹,jiā,be wedged or inserted between
一 1.5,3340,3641,0.0000064805,,6,丞,chéng,"assist, aid, rescue"
一 1.6,133,697,0.0015224490,1,7,两,liǎng,"two, both, pair, couple; ounce"
一 1.6,545,671,0.0003890255,4,7,严,yán,"strict, rigorous, rigid; stern"
丨 2.2,12,45,0.0061992511,1,3,个,gè,"numerary adjunct, piece; single"
丨 2.2,2682,56,0.0000150488,7–9,3,丫,yā,forked; bifurcation
